store_id,item_id,cluster,cluster_label,average_demand,demand_variability,coefficient_of_variation,forecast_error,absolute_forecast_error,forecast_demand,recommended_stock
store_20,item_28,0,Permintaan Rendah,11.7,4.02,0.3435,-9.16,9.16,20.85,41
store_20,item_29,0,Permintaan Rendah,18.24,5.34,0.2927,-7.48,7.51,25.72,46
store_20,item_3,0,Permintaan Rendah,20.78,5.58,0.2687,-1.18,2.8,21.96,42
store_20,item_30,0,Permintaan Rendah,18.77,5.69,0.3031,-2.53,3.21,21.3,41
store_20,item_31,1,Permintaan Tinggi,31.22,8.18,0.262,6.83,6.9,24.39,44
store_20,item_32,1,Permintaan Tinggi,27.7,6.92,0.2497,1.43,3.04,26.27,46
store_20,item_33,1,Permintaan Tinggi,34.81,9.06,0.2602,12.55,12.55,22.26,42
store_20,item_34,1,Permintaan Tinggi,35.39,8.4,0.2374,11.34,11.34,24.05,44
store_20,item_35,0,Permintaan Rendah,22.92,5.7,0.2487,3.25,3.61,19.67,40
store_20,item_36,0,Permintaan Rendah,13.17,4.34,0.3297,-10.9,10.9,24.07,44
store_20,item_37,1,Permintaan Tinggi,29.91,7.97,0.2664,9.21,9.21,20.7,41
store_20,item_38,1,Permintaan Tinggi,31.61,8.07,0.2552,8.57,8.57,23.04,43
store_20,item_39,0,Permintaan Rendah,26.17,6.87,0.2623,4.25,4.48,21.93,42
store_20,item_4,0,Permintaan Rendah,17.6,4.6,0.2611,-3.53,4.11,21.12,41
store_20,item_40,1,Permintaan Tinggi,32.1,8.94,0.2786,5.94,6.07,26.16,46
store_20,item_41,0,Permintaan Rendah,23.62,6.29,0.2663,0.09,2.65,23.53,43
store_20,item_42,0,Permintaan Rendah,24.97,6.52,0.261,6.16,6.25,18.81,39
store_20,item_43,0,Permintaan Rendah,21.37,5.89,0.2755,-2.96,3.47,24.33,44
store_20,item_44,0,Permintaan Rendah,10.55,3.85,0.3652,-11.14,11.14,21.7,42
store_20,item_45,0,Permintaan Rendah,27.13,7.71,0.2842,1.47,3.01,25.66,46
store_20,item_46,0,Permintaan Rendah,12.85,4.32,0.3366,-6.92,7.0,19.77,40
store_20,item_47,1,Permintaan Tinggi,36.82,7.86,0.2135,13.34,13.34,23.49,43
store_20,item_48,0,Permintaan Rendah,11.75,4.03,0.3432,-8.9,8.91,20.65,41
store_20,item_49,0,Permintaan Rendah,15.54,4.73,0.3045,-10.35,10.35,25.9,46
store_20,item_5,1,Permintaan Tinggi,33.14,7.9,0.2383,12.81,12.81,20.33,40
store_20,item_50,0,Permintaan Rendah,11.1,3.54,0.3192,-10.79,10.79,21.88,42
store_20,item_6,0,Permintaan Rendah,19.9,5.64,0.2834,-1.11,2.58,21.01,41
store_20,item_7,0,Permintaan Rendah,17.58,5.48,0.3118,-2.73,3.69,20.31,40
store_20,item_8,0,Permintaan Rendah,24.45,5.83,0.2385,5.27,5.4,19.18,39
store_20,item_9,0,Permintaan Rendah,13.71,3.83,0.279,-11.35,11.35,25.06,45
store_21,item_1,1,Permintaan Tinggi,42.76,9.23,0.2159,21.25,21.25,21.5,41
store_21,item_10,1,Permintaan Tinggi,37.87,9.64,0.2545,10.1,10.11,27.77,48
store_21,item_11,0,Permintaan Rendah,13.38,4.17,0.3117,-11.04,11.04,24.41,44
store_21,item_12,1,Permintaan Tinggi,36.29,8.75,0.2411,11.08,11.09,25.22,45
store_21,item_13,1,Permintaan Tinggi,43.15,10.23,0.2371,23.13,23.13,20.02,40
store_21,item_14,1,Permintaan Tinggi,36.67,8.73,0.2381,14.73,14.73,21.94,42
store_21,item_15,0,Permintaan Rendah,17.69,5.17,0.2924,-5.73,5.81,23.42,43
store_21,item_16,0,Permintaan Rendah,11.12,3.92,0.352,-14.32,14.32,25.45,45
store_21,item_17,1,Permintaan Tinggi,37.58,9.02,0.2402,15.39,15.39,22.18,42
store_21,item_18,1,Permintaan Tinggi,34.29,8.26,0.2409,11.9,11.9,22.39,42
store_21,item_19,1,Permintaan Tinggi,34.49,8.71,0.2524,11.12,11.12,23.38,43
store_21,item_2,0,Permintaan Rendah,21.74,5.92,0.2722,-2.0,3.15,23.74,44
store_21,item_20,1,Permintaan Tinggi,37.32,9.99,0.2677,14.33,14.33,22.99,43
store_21,item_21,0,Permintaan Rendah,13.18,4.53,0.3434,-11.45,11.45,24.64,44
store_21,item_22,0,Permintaan Rendah,22.85,6.52,0.2855,0.95,2.83,21.91,42
store_21,item_23,1,Permintaan Tinggi,41.8,9.84,0.2353,17.46,17.46,24.35,44
store_21,item_24,0,Permintaan Rendah,14.64,4.65,0.3176,-13.14,13.14,27.78,48
store_21,item_25,1,Permintaan Tinggi,39.71,10.2,0.2568,14.67,14.67,25.04,45
store_21,item_26,1,Permintaan Tinggi,31.78,8.31,0.2616,9.86,9.86,21.92,42
store_21,item_27,0,Permintaan Rendah,22.19,5.74,0.2587,-0.76,2.56,22.95,43
store_21,item_28,0,Permintaan Rendah,13.14,4.12,0.3134,-12.77,12.77,25.91,46
store_21,item_29,0,Permintaan Rendah,20.83,5.55,0.2666,-1.19,2.86,22.02,42
store_21,item_3,0,Permintaan Rendah,23.83,5.83,0.2444,0.63,2.68,23.21,43
store_21,item_30,0,Permintaan Rendah,22.04,6.32,0.2868,0.88,2.81,21.16,41
store_21,item_31,1,Permintaan Tinggi,35.08,8.54,0.2434,12.5,12.5,22.57,42
store_21,item_32,1,Permintaan Tinggi,31.72,8.27,0.2609,8.37,8.4,23.34,43
store_21,item_33,1,Permintaan Tinggi,40.33,9.68,0.24,19.18,19.18,21.15,41
store_21,item_34,1,Permintaan Tinggi,40.22,10.32,0.2565,15.76,15.76,24.46,44
store_21,item_35,0,Permintaan Rendah,26.54,6.36,0.2395,1.78,2.95,24.76,45
store_21,item_36,0,Permintaan Rendah,14.82,4.48,0.3026,-6.38,6.39,21.2,41
store_21,item_37,1,Permintaan Tinggi,33.93,7.87,0.2318,9.01,9.01,24.92,45
store_21,item_38,1,Permintaan Tinggi,35.91,8.9,0.2479,14.6,14.6,21.3,41
store_21,item_39,1,Permintaan Tinggi,29.14,7.03,0.2414,6.73,6.8,22.41,42
store_21,item_4,0,Permintaan Rendah,19.86,5.65,0.2847,-1.14,2.93,21.0,41
store_21,item_40,1,Permintaan Tinggi,36.52,9.3,0.2547,8.15,8.21,28.37,48
store_21,item_41,0,Permintaan Rendah,26.77,6.57,0.2454,1.86,3.08,24.91,45
store_21,item_42,0,Permintaan Rendah,28.04,7.74,0.2759,6.01,6.11,22.03,42
store_21,item_43,0,Permintaan Rendah,24.84,6.11,0.2459,3.95,4.27,20.89,41
store_21,item_44,0,Permintaan Rendah,11.65,4.15,0.3562,-10.71,10.71,22.37,42
store_21,item_45,1,Permintaan Tinggi,29.78,6.74,0.2264,11.68,11.68,18.1,38
store_21,item_46,0,Permintaan Rendah,14.43,4.78,0.3308,-7.81,7.81,22.25,42
store_21,item_47,1,Permintaan Tinggi,42.07,10.54,0.2505,16.94,16.94,25.13,45
store_21,item_48,0,Permintaan Rendah,13.99,4.7,0.3358,-10.26,10.26,24.25,44
store_21,item_49,0,Permintaan Rendah,17.03,4.83,0.2837,-8.31,8.31,25.34,45
store_21,item_5,1,Permintaan Tinggi,37.88,8.82,0.2328,12.84,12.84,25.04,45
store_21,item_50,0,Permintaan Rendah,12.9,4.64,0.3599,-8.32,8.36,21.22,41
store_21,item_6,0,Permintaan Rendah,22.7,6.19,0.2727,-0.63,2.44,23.33,43
store_21,item_7,0,Permintaan Rendah,20.36,5.69,0.2795,-7.74,7.74,28.11,48
store_21,item_8,1,Permintaan Tinggi,28.72,7.5,0.2611,5.32,5.51,23.41,43
store_21,item_9,0,Permintaan Rendah,15.78,4.81,0.3046,-5.38,5.43,21.16,41
store_22,item_1,1,Permintaan Tinggi,43.4,10.95,0.2524,17.31,17.31,26.09,46
store_22,item_10,1,Permintaan Tinggi,38.67,10.15,0.2625,12.33,12.33,26.33,46
store_22,item_11,0,Permintaan Rendah,13.93,4.21,0.3019,-6.12,6.25,20.06,40
store_22,item_12,1,Permintaan Tinggi,37.14,9.28,0.2498,10.54,10.54,26.6,46
store_22,item_13,1,Permintaan Tinggi,44.61,9.71,0.2177,22.16,22.16,22.45,42
store_22,item_14,1,Permintaan Tinggi,37.32,8.4,0.225,14.35,14.35,22.97,43
store_22,item_15,0,Permintaan Rendah,18.4,4.98,0.2708,-1.48,2.7,19.87,40
store_22,item_16,0,Permintaan Rendah,11.57,4.06,0.3507,-8.59,8.61,20.15,40
store_22,item_17,1,Permintaan Tinggi,39.83,10.23,0.2569,14.03,14.03,25.8,46
store_22,item_18,1,Permintaan Tinggi,35.09,9.05,0.258,11.02,11.03,24.06,44
store_22,item_19,1,Permintaan Tinggi,36.7,9.41,0.2565,11.49,11.49,25.21,45
store_22,item_2,0,Permintaan Rendah,21.93,5.89,0.2687,-2.34,3.22,24.27,44
store_22,item_20,1,Permintaan Tinggi,38.16,9.34,0.2447,17.64,17.64,20.52,40
store_22,item_21,0,Permintaan Rendah,13.58,4.37,0.3215,-7.55,7.57,21.13,41
store_22,item_22,0,Permintaan Rendah,23.48,6.43,0.2737,-3.34,4.1,26.82,47
store_22,item_23,1,Permintaan Tinggi,43.43,10.26,0.2363,18.83,18.83,24.6,44
store_22,item_24,0,Permintaan Rendah,15.17,4.54,0.2995,-4.56,4.8,19.72,40
store_22,item_25,1,Permintaan Tinggi,40.88,10.52,0.2574,10.28,10.29,30.6,50
store_22,item_26,1,Permintaan Tinggi,31.93,7.11,0.2226,7.75,7.79,24.18,44
store_22,item_27,0,Permintaan Rendah,23.02,5.73,0.249,2.13,3.08,20.89,41
store_22,item_28,0,Permintaan Rendah,14.02,4.38,0.3128,-4.84,5.23,18.85,39
store_22,item_29,0,Permintaan Rendah,21.57,5.85,0.2711,-1.05,2.48,22.63,42
store_22,item_3,0,Permintaan Rendah,24.78,6.63,0.2676,0.11,2.84,24.67,45
store_22,item_30,0,Permintaan Rendah,22.79,6.08,0.2666,-3.45,3.79,26.24,46
store_22,item_31,1,Permintaan Tinggi,36.35,8.85,0.2434,10.71,10.71,25.64,45
store_22,item_32,1,Permintaan Tinggi,33.23,9.12,0.2744,7.12,7.16,26.11,46
store_22,item_33,1,Permintaan Tinggi,41.64,9.33,0.224,17.65,17.65,23.99,44
store_22,item_34,1,Permintaan Tinggi,41.68,10.58,0.2538,19.31,19.31,22.37,42
store_22,item_35,1,Permintaan Tinggi,27.3,6.95,0.2547,-0.99,2.87,28.29,48
store_22,item_36,0,Permintaan Rendah,15.9,5.07,0.3188,-9.31,9.33,25.21,45
store_22,item_37,1,Permintaan Tinggi,35.53,9.08,0.2555,10.84,10.84,24.69,45
store_22,item_38,1,Permintaan Tinggi,37.08,9.85,0.2658,10.14,10.14,26.93,47
store_22,item_39,1,Permintaan Tinggi,30.2,7.57,0.2507,5.14,5.31,25.05,45
store_22,item_4,0,Permintaan Rendah,20.73,5.92,0.2857,-0.34,2.7,21.07,41
store_22,item_40,1,Permintaan Tinggi,37.6,9.57,0.2545,16.97,16.97,20.63,40
store_22,item_41,1,Permintaan Tinggi,28.26,6.91,0.2444,5.25,5.39,23.01,43
store_22,item_42,1,Permintaan Tinggi,29.28,7.43,0.2539,5.84,5.97,23.44,43
store_22,item_43,0,Permintaan Rendah,25.7,6.49,0.2527,3.37,4.0,22.33,42
store_22,item_44,0,Permintaan Rendah,11.85,3.93,0.3319,-10.04,10.04,21.89,42
store_22,item_45,1,Permintaan Tinggi,31.09,7.12,0.2291,6.96,7.0,24.12,44
store_22,item_46,0,Permintaan Rendah,14.99,4.53,0.3025,-5.93,6.03,20.92,41
store_22,item_47,1,Permintaan Tinggi,41.7,10.02,0.2403,19.36,19.36,22.33,42
store_22,item_48,0,Permintaan Rendah,14.5,4.45,0.307,-1.73,2.75,16.23,36
store_22,item_49,0,Permintaan Rendah,17.97,5.48,0.3047,-3.98,4.47,21.95,42
store_22,item_5,1,Permintaan Tinggi,39.71,10.68,0.2689,11.64,11.64,28.07,48
store_22,item_50,0,Permintaan Rendah,12.79,4.25,0.3327,-12.46,12.46,25.24,45
store_22,item_6,0,Permintaan Rendah,23.14,5.79,0.2501,2.81,3.32,20.33,40
store_22,item_7,0,Permintaan Rendah,20.65,5.33,0.2581,-0.68,2.78,21.32,41
store_22,item_8,1,Permintaan Tinggi,29.17,6.73,0.2308,2.53,3.23,26.64,46
store_22,item_9,0,Permintaan Rendah,16.21,4.7,0.2902,-8.29,8.34,24.5,44
store_23,item_1,1,Permintaan Tinggi,46.6,10.41,0.2234,24.33,24.33,22.27,42
store_23,item_10,1,Permintaan Tinggi,40.46,10.29,0.2544,18.65,18.65,21.81,42
store_23,item_11,0,Permintaan Rendah,14.62,4.22,0.2888,-6.08,6.19,20.7,41
store_23,item_12,1,Permintaan Tinggi,39.32,9.43,0.2398,16.38,16.38,22.93,43
store_23,item_13,1,Permintaan Tinggi,47.72,12.03,0.2521,23.27,23.27,24.46,44
store_23,item_14,1,Permintaan Tinggi,39.11,9.0,0.2302,13.32,13.32,25.79,46
store_23,item_15,0,Permintaan Rendah,18.95,5.32,0.2805,-1.85,3.04,20.8,41
store_23,item_16,0,Permintaan Rendah,12.54,4.1,0.3269,-10.19,10.19,22.73,43
store_23,item_17,1,Permintaan Tinggi,41.64,10.67,0.2563,16.95,16.95,24.68,45
store_23,item_18,1,Permintaan Tinggi,37.07,8.61,0.2322,13.55,13.55,23.52,43
store_23,item_19,1,Permintaan Tinggi,37.91,8.53,0.2251,15.59,15.59,22.32,42
store_23,item_2,0,Permintaan Rendah,23.72,5.68,0.2396,2.86,3.47,20.86,41
store_23,item_20,1,Permintaan Tinggi,39.21,8.41,0.2144,13.54,13.54,25.67,46
store_23,item_21,0,Permintaan Rendah,14.79,4.55,0.3078,-8.69,8.71,23.48,43
store_23,item_22,0,Permintaan Rendah,24.9,6.43,0.2581,2.64,3.65,22.26,42
store_23,item_23,1,Permintaan Tinggi,45.55,11.1,0.2436,18.53,18.53,27.03,47
store_23,item_24,0,Permintaan Rendah,15.99,5.01,0.3135,-10.46,10.46,26.44,46
store_23,item_25,1,Permintaan Tinggi,43.78,10.77,0.246,19.79,19.79,23.98,44
store_23,item_26,1,Permintaan Tinggi,34.2,8.47,0.2477,11.16,11.16,23.04,43
store_23,item_27,0,Permintaan Rendah,24.02,5.84,0.2431,-0.53,2.53,24.55,44
store_23,item_28,0,Permintaan Rendah,15.04,5.27,0.3507,-10.24,10.24,25.28,45
store_23,item_29,0,Permintaan Rendah,22.98,5.84,0.254,2.51,3.37,20.47,40
store_23,item_3,0,Permintaan Rendah,25.98,6.57,0.253,2.59,3.16,23.39,43
store_23,item_30,0,Permintaan Rendah,23.62,6.02,0.2548,-1.77,2.91,25.39,45
store_23,item_31,1,Permintaan Tinggi,38.82,10.38,0.2675,13.88,13.88,24.94,45
store_23,item_32,1,Permintaan Tinggi,35.28,9.42,0.267,13.1,13.1,22.18,42
store_23,item_33,1,Permintaan Tinggi,43.32,10.73,0.2477,22.12,22.12,21.19,41
store_23,item_34,1,Permintaan Tinggi,44.18,11.36,0.2571,22.23,22.23,21.96,42
store_23,item_35,1,Permintaan Tinggi,29.53,8.02,0.2714,5.85,5.97,23.68,44
store_23,item_36,0,Permintaan Rendah,15.64,4.56,0.2918,-4.57,4.76,20.2,40
store_23,item_37,1,Permintaan Tinggi,37.13,8.58,0.2311,14.08,14.08,23.05,43
store_23,item_38,1,Permintaan Tinggi,38.45,8.23,0.2142,15.49,15.49,22.96,43
store_23,item_39,1,Permintaan Tinggi,32.19,7.51,0.2333,7.02,7.12,25.17,45
store_23,item_4,0,Permintaan Rendah,21.36,5.88,0.2755,1.69,3.02,19.67,40
store_23,item_40,1,Permintaan Tinggi,39.61,10.14,0.256,12.42,12.42,27.19,47
store_23,item_41,1,Permintaan Tinggi,29.86,7.57,0.2535,3.3,3.89,26.56,46
store_23,item_42,1,Permintaan Tinggi,31.24,8.09,0.2589,4.22,4.51,27.03,47
store_23,item_43,0,Permintaan Rendah,27.15,6.98,0.2571,1.64,2.74,25.51,45
store_23,item_44,0,Permintaan Rendah,12.43,3.97,0.3192,-11.11,11.13,23.54,43
store_23,item_45,1,Permintaan Tinggi,32.47,7.89,0.2432,8.25,8.26,24.22,44
store_23,item_46,0,Permintaan Rendah,16.05,4.21,0.2622,-3.51,4.0,19.57,39
store_23,item_47,1,Permintaan Tinggi,44.3,10.77,0.243,20.0,20.0,24.31,44
store_23,item_48,0,Permintaan Rendah,15.0,4.31,0.2871,-6.01,6.08,21.01,41
store_23,item_49,0,Permintaan Rendah,18.57,5.9,0.3179,-6.84,6.9,25.4,45
store_23,item_5,1,Permintaan Tinggi,41.34,9.94,0.2405,16.04,16.04,25.3,45
store_23,item_50,0,Permintaan Rendah,14.17,4.71,0.3321,-9.07,9.1,23.24,43
store_23,item_6,0,Permintaan Rendah,24.7,6.55,0.2652,-1.33,2.69,26.03,46
store_23,item_7,0,Permintaan Rendah,21.72,5.82,0.2678,-1.93,3.07,23.65,44
store_23,item_8,1,Permintaan Tinggi,31.46,7.26,0.2307,8.95,8.95,22.51,42
store_23,item_9,0,Permintaan Rendah,16.9,5.78,0.3423,-6.24,6.39,23.15,43
store_24,item_1,1,Permintaan Tinggi,34.38,8.47,0.2465,10.57,10.57,23.81,44
store_24,item_10,1,Permintaan Tinggi,30.89,8.01,0.2592,4.09,4.64,26.8,47
store_24,item_11,0,Permintaan Rendah,10.91,3.9,0.3578,-11.6,11.6,22.51,42
store_24,item_12,1,Permintaan Tinggi,29.9,7.06,0.2363,5.19,5.45,24.71,45
store_24,item_13,1,Permintaan Tinggi,34.95,7.97,0.2279,8.14,8.16,26.8,47
store_24,item_14,1,Permintaan Tinggi,29.97,7.64,0.255,6.18,6.27,23.78,44
store_24,item_15,0,Permintaan Rendah,14.29,4.46,0.3122,-8.73,8.79,23.01,43
store_24,item_16,0,Permintaan Rendah,9.28,3.69,0.3972,-11.19,11.19,20.47,40
store_24,item_17,1,Permintaan Tinggi,30.72,7.95,0.2587,8.41,8.41,22.31,42
store_24,item_18,1,Permintaan Tinggi,28.04,7.18,0.2562,3.02,3.7,25.02,45
store_24,item_19,1,Permintaan Tinggi,28.25,7.19,0.2547,5.1,5.34,23.15,43
store_24,item_2,0,Permintaan Rendah,17.86,5.49,0.3077,-6.23,6.3,24.09,44
store_24,item_20,1,Permintaan Tinggi,30.12,7.46,0.2477,7.65,7.73,22.47,42
store_24,item_21,0,Permintaan Rendah,10.85,3.87,0.3562,-14.14,14.14,25.0,45
store_24,item_22,0,Permintaan Rendah,18.74,5.22,0.2785,-1.15,2.76,19.89,40
store_24,item_23,1,Permintaan Tinggi,34.01,8.02,0.2357,11.09,11.09,22.92,43
store_24,item_24,0,Permintaan Rendah,11.78,4.14,0.3516,-6.85,6.9,18.63,38
store_24,item_25,1,Permintaan Tinggi,32.85,8.4,0.2557,7.94,8.03,24.91,45
store_24,item_26,0,Permintaan Rendah,25.76,6.8,0.264,2.4,3.23,23.36,43
store_24,item_27,0,Permintaan Rendah,17.36,5.08,0.2928,-7.58,7.58,24.94,45
store_24,item_28,0,Permintaan Rendah,10.67,4.0,0.3749,-14.21,14.21,24.89,45
store_24,item_29,0,Permintaan Rendah,17.67,5.76,0.326,1.58,2.66,16.08,36
store_24,item_3,0,Permintaan Rendah,19.22,5.81,0.3025,-1.68,2.95,20.9,41
store_24,item_30,0,Permintaan Rendah,17.92,5.14,0.2869,-5.12,5.3,23.04,43
store_24,item_31,1,Permintaan Tinggi,28.91,7.22,0.2498,3.96,4.36,24.95,45
store_24,item_32,0,Permintaan Rendah,25.57,6.42,0.2509,5.02,5.19,20.55,40
store_24,item_33,1,Permintaan Tinggi,32.76,8.75,0.2671,12.65,12.65,20.11,40
store_24,item_34,1,Permintaan Tinggi,33.38,8.28,0.2481,4.68,5.12,28.7,49
store_24,item_35,0,Permintaan Rendah,21.34,5.44,0.2548,1.69,3.02,19.65,40
store_24,item_36,0,Permintaan Rendah,12.22,4.21,0.3446,-10.67,10.67,22.89,43
store_24,item_37,1,Permintaan Tinggi,28.24,7.38,0.2611,3.43,4.02,24.81,45
store_24,item_38,1,Permintaan Tinggi,28.55,6.9,0.2415,3.8,4.16,24.75,45
store_24,item_39,0,Permintaan Rendah,24.14,6.22,0.2576,0.8,2.46,23.34,43
store_24,item_4,0,Permintaan Rendah,16.34,4.7,0.2873,-3.57,3.96,19.91,40
store_24,item_40,1,Permintaan Tinggi,29.11,7.16,0.2458,4.46,4.75,24.65,45
store_24,item_41,0,Permintaan Rendah,22.72,6.16,0.271,-0.8,2.45,23.52,43
store_24,item_42,0,Permintaan Rendah,23.76,7.22,0.3037,0.42,2.73,23.33,43
store_24,item_43,0,Permintaan Rendah,20.27,6.03,0.2973,-3.97,4.25,24.24,44
store_24,item_44,0,Permintaan Rendah,9.81,3.86,0.3935,-8.7,8.71,18.51,38
store_24,item_45,0,Permintaan Rendah,24.76,6.23,0.2515,-0.81,2.8,25.57,45
store_24,item_46,0,Permintaan Rendah,11.99,4.32,0.3603,-10.29,10.3,22.29,42
store_24,item_47,1,Permintaan Tinggi,32.99,8.05,0.2438,11.55,11.55,21.44,41
store_24,item_48,0,Permintaan Rendah,12.02,3.95,0.3284,-9.52,9.52,21.54,41
store_24,item_49,0,Permintaan Rendah,13.84,4.45,0.3214,-5.73,5.83,19.57,39
store_24,item_5,1,Permintaan Tinggi,30.72,7.73,0.2516,6.56,6.66,24.16,44
store_24,item_50,0,Permintaan Rendah,10.28,3.86,0.3757,-14.22,14.22,24.5,44
store_24,item_6,0,Permintaan Rendah,18.48,5.47,0.2962,-0.6,2.94,19.08,39
store_24,item_7,0,Permintaan Rendah,16.28,5.2,0.3192,-8.26,8.28,24.54,44
store_24,item_8,0,Permintaan Rendah,23.73,6.24,0.2628,-0.62,2.61,24.35,44
store_24,item_9,0,Permintaan Rendah,12.72,4.47,0.3512,-9.76,9.76,22.47,42
store_25,item_1,1,Permintaan Tinggi,44.81,10.82,0.2414,18.34,18.34,26.47,46
store_25,item_10,1,Permintaan Tinggi,38.65,10.15,0.2625,15.59,15.59,23.06,43
store_25,item_11,0,Permintaan Rendah,14.2,4.21,0.2967,-8.25,8.25,22.46,42
store_25,item_12,1,Permintaan Tinggi,37.45,8.15,0.2177,16.24,16.24,21.2,41
store_25,item_13,1,Permintaan Tinggi,44.57,9.96,0.2235,23.77,23.77,20.8,41
store_25,item_14,1,Permintaan Tinggi,38.45,10.34,0.2688,14.06,14.06,24.4,44
store_25,item_15,0,Permintaan Rendah,18.15,5.73,0.3158,-8.04,8.04,26.19,46
store_25,item_16,0,Permintaan Rendah,11.25,4.19,0.3727,-10.53,10.54,21.78,42
store_25,item_17,1,Permintaan Tinggi,39.33,9.53,0.2422,12.85,12.85,26.48,46
store_25,item_18,1,Permintaan Tinggi,35.64,10.01,0.281,10.06,10.11,25.58,45
store_25,item_19,1,Permintaan Tinggi,36.53,8.74,0.2394,14.94,14.94,21.59,41
store_25,item_2,0,Permintaan Rendah,22.3,6.42,0.2877,-0.32,2.51,22.62,42
store_25,item_20,1,Permintaan Tinggi,37.32,8.5,0.2279,15.22,15.22,22.1,42
store_25,item_21,0,Permintaan Rendah,14.11,4.07,0.2888,-10.63,10.63,24.74,45
store_25,item_22,0,Permintaan Rendah,23.94,6.2,0.2588,0.58,2.64,23.36,43
store_25,item_23,1,Permintaan Tinggi,43.7,10.0,0.2288,21.51,21.51,22.19,42
store_25,item_24,0,Permintaan Rendah,15.76,4.9,0.3113,-7.29,7.3,23.05,43
store_25,item_25,1,Permintaan Tinggi,40.73,10.26,0.2519,13.44,13.44,27.29,47
store_25,item_26,1,Permintaan Tinggi,33.19,8.75,0.2636,13.87,13.87,19.32,39
store_25,item_27,0,Permintaan Rendah,22.32,5.62,0.2517,0.7,2.44,21.62,41
store_25,item_28,0,Permintaan Rendah,13.47,4.74,0.3522,-10.37,10.37,23.84,44
store_25,item_29,0,Permintaan Rendah,21.67,5.41,0.2498,-0.86,2.67,22.53,42
store_25,item_3,0,Permintaan Rendah,25.22,6.83,0.2709,7.23,7.29,17.98,38
store_25,item_30,0,Permintaan Rendah,22.78,6.6,0.2899,-1.79,3.06,24.57,44
store_25,item_31,1,Permintaan Tinggi,36.3,9.51,0.262,17.61,17.61,18.69,39
store_25,item_32,1,Permintaan Tinggi,33.35,9.19,0.2755,7.22,7.34,26.13,46
store_25,item_33,1,Permintaan Tinggi,42.59,10.84,0.2545,21.75,21.75,20.84,41
store_25,item_34,1,Permintaan Tinggi,41.97,9.69,0.2309,17.27,17.27,24.7,45
store_25,item_35,1,Permintaan Tinggi,27.48,6.92,0.2519,-3.09,3.84,30.57,50
store_25,item_36,0,Permintaan Rendah,15.51,5.12,0.33,-4.48,4.69,19.98,40
store_25,item_37,1,Permintaan Tinggi,35.8,9.01,0.2517,9.76,9.76,26.04,46
store_25,item_38,1,Permintaan Tinggi,38.09,8.93,0.2346,13.17,13.17,24.92,45
store_25,item_39,1,Permintaan Tinggi,30.61,8.27,0.2702,6.97,7.06,23.64,43
store_25,item_4,0,Permintaan Rendah,20.24,5.75,0.2839,0.3,2.38,19.94,40
store_25,item_40,1,Permintaan Tinggi,38.34,10.64,0.2776,13.07,13.07,25.27,45
store_25,item_41,1,Permintaan Tinggi,28.18,6.79,0.241,3.94,4.41,24.24,44
store_25,item_42,1,Permintaan Tinggi,29.2,6.82,0.2335,7.94,7.99,21.26,41
store_25,item_43,0,Permintaan Rendah,25.76,7.3,0.2834,0.99,2.89,24.77,45
store_25,item_44,0,Permintaan Rendah,12.01,4.13,0.3436,-13.59,13.59,25.6,45
store_25,item_45,1,Permintaan Tinggi,31.92,7.84,0.2456,6.12,6.25,25.8,46
store_25,item_46,0,Permintaan Rendah,14.38,4.28,0.2976,-8.16,8.16,22.53,42
store_25,item_47,1,Permintaan Tinggi,43.55,10.75,0.2468,20.02,20.02,23.53,43
store_25,item_48,0,Permintaan Rendah,14.6,4.53,0.3105,-4.59,4.95,19.18,39
store_25,item_49,0,Permintaan Rendah,17.81,5.13,0.2883,-2.54,3.31,20.35,40
store_25,item_5,1,Permintaan Tinggi,39.38,10.26,0.2604,16.76,16.76,22.62,42
store_25,item_50,0,Permintaan Rendah,12.92,4.42,0.3417,-11.03,11.03,23.95,44
store_25,item_6,0,Permintaan Rendah,23.61,6.2,0.2628,-1.46,2.79,25.07,45
store_25,item_7,0,Permintaan Rendah,20.74,5.9,0.2846,-4.69,4.91,25.43,45
store_25,item_8,1,Permintaan Tinggi,30.28,7.48,0.2471,4.68,5.08,25.6,45
store_25,item_9,0,Permintaan Rendah,16.21,4.92,0.3034,-6.83,6.9,23.04,43
store_26,item_1,1,Permintaan Tinggi,37.36,9.71,0.2598,11.4,11.4,25.96,46
store_26,item_10,1,Permintaan Tinggi,32.15,7.82,0.2433,12.55,12.55,19.6,39
store_26,item_11,0,Permintaan Rendah,11.66,3.81,0.3266,-11.25,11.25,22.91,43
store_26,item_12,1,Permintaan Tinggi,31.38,7.64,0.2435,5.68,5.82,25.69,46
store_26,item_13,1,Permintaan Tinggi,37.39,9.77,0.2613,15.99,15.99,21.4,41
store_26,item_14,1,Permintaan Tinggi,31.5,7.99,0.2537,8.08,8.08,23.42,43
store_26,item_15,0,Permintaan Rendah,15.05,4.64,0.3084,-7.34,7.36,22.39,42
store_26,item_16,0,Permintaan Rendah,9.4,3.91,0.4159,-8.38,8.39,17.78,38
store_26,item_17,1,Permintaan Tinggi,33.11,8.66,0.2614,10.42,10.43,22.7,43
store_26,item_18,1,Permintaan Tinggi,29.65,7.78,0.2623,6.49,6.54,23.16,43
store_26,item_19,1,Permintaan Tinggi,29.99,7.33,0.2442,5.78,5.84,24.22,44
